"County","Robert Dole","Bill Clinton","Henry Ross Perot","Harry Browne","Howard Phillips","John Hagelin"
"Adams",15338,10774,3186,113,72,25
"Allegheny",204067,284480,42309,1892,5322,545
"Armstrong",11052,11130,3452,47,73,25
"Beaver",26048,39578,8276,202,122,53
"Bedford",10064,5954,2041,26,29,13
"Berks",56289,49887,13788,1377,204,173
"Blair",21282,15036,4014,202,123,34
"Bradford",10393,7736,2712,67,80,20
"Bucks",94899,103313,24544,3479,762,366
"Butler",32038,21990,6145,246,133,39
"Cambria",20341,30391,7837,325,313,68
"Cameron",1113,822,283,6,5,2
"Carbon",7193,9457,2992,89,73,25
"Centre",20935,21145,4173,378,75,120
"Chester",77029,64783,14067,1942,323,222
"Clarion",6916,5954,2064,26,95,16
"Clearfield",12987,11991,3758,56,137,26
"Clinton",4293,5658,1424,33,57,18
"Columbia",8234,8379,3654,74,18,13
"Crawford",14659,12943,3519,98,182,45
"Cumberland",43943,28749,5669,407,144,73
"Dauphin",44417,40936,6967,358,178,115
"Delaware",92628,115946,21883,2371,1578,342
"Elk",4889,5749,2293,36,34,12
"Erie",39884,57508,10386,297,597,119
"Fayette",14019,26359,5722,104,262,66
"Forest",902,964,325,4,4,2
"Franklin",25392,14980,4127,114,80,37
"Fulton",2665,1620,554,12,15,2
"Greene",4002,7620,2052,24,31,7
"Huntingdon",7324,5285,1813,31,29,13
"Indiana",12874,13868,3674,88,62,17
"Jefferson",8156,5846,2322,43,76,14
"Juniata",4128,2896,911,23,16,10
"Lackawanna",26930,46377,8189,136,944,105
"Lancaster",92875,49120,11601,718,692,280
"Lawrence",13088,18993,4002,93,65,18
"Lebanon",21885,14187,4235,175,153,100
"Lehigh",45103,48568,10947,808,483,201
"Luzerne",43577,60174,12424,280,174,188
"Lycoming",21535,13516,3855,103,171,61
"McKean",6838,5509,2350,57,95,20
"Mercer",17213,23003,5108,132,264,59
"Mifflin",6888,5327,1392,32,58,21
"Monroe",17326,16547,4650,224,262,56
"Montgomery",121047,143664,24392,4004,497,357
"Montour",2785,2183,784,33,18,8
"Northampton",35726,43959,9848,589,702,178
"Northumberland",13551,13418,5173,98,120,40
"Perry",8156,4611,1609,85,36,18
"Philadelphia",85345,412988,29329,3641,1258,716
"Pike",6697,5509,1873,65,76,24
"Potter",3714,2146,925,17,8,7
"Schuylkill",22920,24860,8471,232,82,64
"Snyder",6742,3405,1451,26,12,6
"Somerset",14735,12719,3968,53,86,30
"Sullivan",1352,1071,418,11,3,3
"Susquehanna",7354,5912,2266,50,34,20
"Tioga",7382,4961,1993,41,38,10
"Union",6570,3658,1431,26,20,19
"Venango",8398,8205,2777,75,70,24
"Warren",7056,7291,2504,66,124,26
"Washington",27777,40952,8661,177,122,56
"Wayne",8077,5928,2126,41,142,20
"Westmoreland",62058,63686,16230,407,725,223
"Wyoming",4888,4049,1414,27,22,8
"York",65188,49596,11652,888,692,140
