"County","REP","DEM","CST","LIB","OTH","ALL"
"ADAMS",26774,15925,97,267,5360,48423
"ALLEGHENY",260791,568560,10,2388,83145,914894
"ARMSTRONG",18927,20600,49,123,3376,43075
"BEAVER",33451,73045,126,248,9645,116515
"BEDFORD",16955,10500,26,57,1862,29400
"BERKS",89731,94861,455,1652,24245,210944
"BLAIR",40852,25224,98,291,6889,73354
"BRADFORD",22345,10375,53,122,3516,36411
"BUCKS",192498,145625,11,3083,53149,394366
"BUTLER",51557,42516,99,383,10890,105445
"CAMBRIA",28818,57060,112,202,5204,91396
"CAMERON",1771,1547,5,7,217,3547
"CARBON",13755,16826,54,145,3080,33860
"CENTRE",40000,33215,105,564,14334,88218
"CHESTER",163833,82428,349,1733,45082,293425
"CLARION",11431,9412,1,69,1570,22483
"CLEARFIELD",20572,20778,65,114,3402,44931
"CLINTON",9508,8911,31,58,1631,20139
"COLUMBIA",15851,16717,43,121,3953,36685
"CRAWFORD",27955,20680,66,131,3862,52694
"CUMBERLAND",76801,39060,5,564,15878,132308
"DAUPHIN",83185,59138,355,699,16446,159823
"DELAWARE",230741,110104,369,1279,35546,378039
"ELK",7292,10409,26,38,1641,19406
"ERIE",67154,89994,293,506,14302,172249
"FAYETTE",18375,60069,89,167,4458,83158
"FOREST",1660,1170,0,1,164,2995
"FRANKLIN",41274,22387,105,215,7485,71466
"FULTON",4279,3286,14,26,448,8053
"GREENE",5659,16774,27,42,1116,23618
"HUNTINGDON",15149,8941,34,57,2240,26421
"INDIANA",20647,21670,50,148,5106,47621
"JEFFERSON",13444,10628,37,59,1724,25892
"JUNIATA",6897,4610,17,20,826,12370
"LACKAWANNA",45246,92065,25,296,7738,145370
"LANCASTER",166272,67932,454,1212,34004,269874
"LAWRENCE",19967,31709,41,89,3971,55777
"LEBANON",40764,20073,125,300,7153,68415
"LEHIGH",80324,84391,360,1010,23193,189278
"LUZERNE",69603,111902,193,514,11799,194011
"LYCOMING",34440,23405,129,207,5476,63657
"MCKEAN",15704,8089,58,109,2361,26321
"MERCER",30029,36130,111,183,6593,73046
"MIFFLIN",13222,8982,19,65,1792,24080
"MONROE",33546,31716,192,565,13359,79378
"MONTGOMERY",272615,173503,595,3090,64411,514214
"MONTOUR",5069,3959,0,33,985,10046
"NORTHAMPTON",62906,78941,282,858,21827,164814
"NORTHUMBERLAND",23393,23829,45,126,3265,50658
"PERRY",15480,6709,38,85,2284,24596
"PHILADELPHIA",198007,760315,1114,2717,63106,1025259
"PIKE",15184,9943,52,103,4871,30153
"POTTER",7036,3644,21,25,746,11472
"SCHUYLKILL",46093,34655,122,246,6121,87237
"SNYDER",12674,4458,24,48,1572,18776
"SOMERSET",23998,21770,55,90,2735,48648
"SULLIVAN",2570,1712,0,12,311,4605
"SUSQUEHANNA",15061,8273,15,90,2105,25544
"TIOGA",16294,7179,52,74,1801,25400
"UNION",11380,5123,10,60,2098,18671
"VENANGO",17786,12728,35,117,2871,33537
"WARREN",14222,10464,52,72,2765,27575
"WASHINGTON",40948,85898,88,310,10880,138124
"WAYNE",16700,7750,30,88,2988,27556
"WESTMORELAND",77227,141652,256,511,20081,239727
"WYOMING",10963,5696,24,71,1502,18256
"YORK",116109,78664,25,1293,28207,224298
