"County","DEM","REP","LIB","GRN","OTH","ALL"
"ADAMS",18100,32137,302,158,7328,58025
"ALLEGHENY",557900,262692,2917,1631,93737,918877
"ARMSTRONG",20442,20739,165,40,3875,45261
"BEAVER",73401,37538,280,74,11057,122350
"BEDFORD",11033,19395,76,27,2347,32878
"BERKS",103541,98170,1723,595,31137,235166
"BLAIR",26213,46047,302,135,7901,80598
"BRADFORD",10624,22509,145,55,3819,37152
"BUCKS",173803,208639,3037,907,65513,451899
"BUTLER",42466,57737,435,131,12174,112943
"CAMBRIA",56390,28849,237,94,6199,91769
"CAMERON",1562,1862,10,1,283,3718
"CARBON",17807,14626,183,72,3932,36620
"CENTRE",32867,38367,541,403,14654,86832
"CHESTER",98765,170419,1864,738,52961,324747
"CLARION",9638,12148,83,38,1925,23832
"CLEARFIELD",22226,22768,134,51,4320,49499
"CLINTON",9018,9328,68,54,1971,20439
"COLUMBIA",18422,18640,160,81,5631,42934
"CRAWFORD",23212,30037,191,109,5020,58569
"CUMBERLAND",42970,81752,744,335,18926,144727
"DAUPHIN",67345,83699,791,423,20969,173227
"DELAWARE",131317,213030,1312,617,40327,386603
"ELK",11026,7930,38,40,1983,21017
"ERIE",92922,73308,581,405,17402,184618
"FAYETTE",61475,21421,253,63,5722,88934
"FOREST",1248,1715,4,2,183,3152
"FRANKLIN",24235,48084,284,128,9350,82081
"FULTON",3269,5025,32,4,600,8930
"GREENE",17151,6514,63,25,1491,25244
"HUNTINGDON",9782,16987,73,64,2775,29681
"INDIANA",23770,23699,182,127,5892,53670
"JEFFERSON",11289,15213,97,22,2226,28847
"JUNIATA",4757,7875,38,15,1078,13763
"LACKAWANNA",96804,46882,391,316,10071,154464
"LANCASTER",82172,184852,1458,885,43511,312878
"LAWRENCE",32881,21995,112,18,4644,59650
"LEBANON",21307,42980,411,118,8802,73618
"LEHIGH",88149,79364,995,447,28842,197797
"LUZERNE",120420,75529,628,483,16060,213120
"LYCOMING",24756,37261,243,166,7007,69433
"MCKEAN",8634,16368,122,29,2806,27959
"MERCER",36745,31626,218,105,7379,76073
"MIFFLIN",9293,14883,100,27,2220,26523
"MONROE",40959,39271,620,196,17738,98784
"MONTGOMERY",214233,268755,3241,1025,77704,564958
"MONTOUR",4428,5871,45,23,1420,11787
"NORTHAMPTON",83694,67193,1002,443,26367,178699
"NORTHUMBERLAND",22958,24901,151,140,3783,51933
"PERRY",7004,17196,113,49,2920,27282
"PHILADELPHIA",796033,175434,3091,2002,85879,1062439
"PIKE",12762,18488,139,94,6742,38225
"POTTER",3736,7341,35,19,915,12046
"SCHUYLKILL",36200,47213,304,103,7751,91571
"SNYDER",5034,13689,71,45,2005,20844
"SOMERSET",22487,25987,119,44,3535,52172
"SULLIVAN",1699,2528,15,11,325,4578
"SUSQUEHANNA",8561,15467,110,65,2571,26774
"TIOGA",7594,17071,95,39,2440,27239
"UNION",6260,12741,86,66,2922,22075
"VENANGO",13756,19774,144,46,3636,37356
"WARREN",10604,14577,81,61,3185,28508
"WASHINGTON",88941,47351,395,98,12931,149716
"WAYNE",8669,17488,112,102,3693,30064
"WESTMORELAND",142979,88727,660,232,23767,256365
"WYOMING",6102,10909,15,33,1938,18997
"YORK",89646,136667,1591,594,35636,264134
