"County","Barack Obama","Bob Barr","John Mccain","Ralph Nader","Write-in"
"Adams",17633,154,26349,355,172
"Blair",19813,246,32708,335,196
"Bedford",6059,96,16124,164,65
"Franklin",21169,196,41906,370,0
"Somerset",12878,203,21686,401,200
"Perry",6396,93,13058,198,0
"Pike",11493,87,12519,186,0
"Mercer",26411,234,26565,611,347
"Berks",97047,826,80513,1614,511
"Luzerne",72492,417,61127,1139,793
"Schuylkill",28300,288,33767,702,0
"Washington",46119,332,50702,841,465
"York",82839,731,109268,1372,1063
"Lehigh",87089,525,63382,1477,0
"Centre",41950,333,32992,488,348
"Lackawanna",67520,166,39488,702,663
"Wayne",9892,50,12702,191,97
"Clarion",6746,104,10737,169,111
"Warren",8537,73,9685,222,146
"Beaver",40499,268,42895,826,544
"Snyder",5382,58,9900,139,0
"Venango",9238,101,13718,250,174
"Sullivan",1233,14,1841,32,11
"Northumberland",14328,177,19015,415,0
"Indiana",17065,153,19727,359,0
"Lawrence",19711,146,21851,395,246
"Cambria",32451,319,31995,905,0
"Dauphin",69871,500,58220,816,0
"Montour",3347,18,4555,67,0
"Erie",75775,398,50351,1167,0
"Delaware",178870,906,115273,1955,506
"Lycoming",18381,193,30280,383,210
"Lebanon",23310,224,34314,449,266
"Juniata",3068,52,6484,107,108
"Potter",2300,35,5109,63,76
"Cameron",879,9,1323,34,12
"Northampton",75255,529,58551,1253,365
"Tioga",6390,91,11326,177,0
"Fayette",25895,157,25780,448,0
"Bucks",179031,1240,150248,2405,0
"Susquehanna",8381,81,10633,191,97
"Crawford",16780,167,20750,437,0
"Philadelphia",595980,1057,117221,3071,696
"Butler",32260,369,57074,722,336
"Jefferson",6447,106,12057,192,102
"Carbon",13464,123,12957,379,127
"Greene",7829,39,7889,219,0
"Monroe",39453,199,28293,498,0
"Armstrong",11138,138,18542,263,0
"Mckean",6465,58,9224,200,68
"Lancaster",99586,765,126568,1218,1112
"Fulton",1576,31,4642,57,0
"Huntingdon",6621,70,11745,196,98
"Union",7333,72,9859,136,75
"Columbia",13191,92,14447,263,215
"Montgomery",253553,1383,165962,2090,0
"Clinton",7097,54,7504,136,0
"Cumberland",48306,470,63739,789,521
"Mifflin",5375,41,10929,157,0
"Elk",7290,85,6676,220,90
"Wyoming",5985,50,6949,120,169
"Clearfield",14555,153,18662,443,196
"Chester",137833,870,114421,1230,898
"Forest",1038,10,1366,30,24
"Bradford",10306,122,15057,297,102
"Allegheny",372474,2008,271886,3919,0
"Westmoreland",72721,557,102294,1301,0
