"County","DEM","REP","OTH","ALL"
"ADAMS",21085,32513,8477,62075
"ALLEGHENY",595222,256320,104554,956096
"ARMSTRONG",20521,20758,4242,45521
"BEAVER",70859,36247,11205,118311
"BEDFORD",11731,19746,2717,34194
"BERKS",125769,96970,36363,259102
"BLAIR",29599,45929,8876,84404
"BRADFORD",12387,23477,4307,40171
"BUCKS",195821,184410,64690,444921
"BUTLER",47133,60210,14387,121730
"CAMBRIA",57025,28284,7138,92447
"CAMERON",1566,1835,333,3734
"CARBON",20075,14737,4784,39596
"CENTRE",46531,40801,18743,106075
"CHESTER",124640,150118,50934,325692
"CLARION",10515,12534,2459,25508
"CLEARFIELD",23462,23056,4953,51471
"CLINTON",10836,9645,2529,23010
"COLUMBIA",20966,19439,6857,47262
"CRAWFORD",26319,29808,6241,62368
"CUMBERLAND",52867,78539,20943,152349
"DAUPHIN",86853,81851,24020,192724
"DELAWARE",172138,190681,43149,405968
"ELK",11209,7324,2008,20541
"ERIE",102053,62858,20158,185069
"FAYETTE",62882,21933,6571,91386
"FOREST",1469,1588,218,3275
"FRANKLIN",27739,50047,11001,88787
"FULTON",3494,5514,816,9824
"GREENE",17113,6778,1791,25682
"HUNTINGDON",10704,16819,3018,30541
"INDIANA",26639,24149,7264,58052
"JEFFERSON",11790,15541,2742,30073
"JUNIATA",5000,8051,1242,14293
"LACKAWANNA",102308,42863,12140,157311
"LANCASTER",104120,176176,46205,326501
"LAWRENCE",34704,22494,5262,62460
"LEBANON",27659,44256,10525,82440
"LEHIGH",112162,77730,34137,224029
"LUZERNE",111329,61080,15442,187851
"LYCOMING",27105,36915,8310,72330
"MCKEAN",9076,15385,3032,27493
"MERCER",39957,32104,8858,80919
"MIFFLIN",9071,14039,2309,25419
"MONROE",53795,38903,21244,113942
"MONTGOMERY",263633,239515,81248,584396
"MONTOUR",5071,5944,1672,12687
"NORTHAMPTON",103851,70301,34368,208520
"NORTHUMBERLAND",24112,24761,5101,53974
"PERRY",7957,17028,3081,28066
"PHILADELPHIA",880681,147068,99011,1126760
"PIKE",16969,20091,8701,45761
"POTTER",3663,6816,929,11408
"SCHUYLKILL",40090,45052,8963,94105
"SNYDER",5970,13797,2440,22207
"SOMERSET",23138,26254,4135,53527
"SULLIVAN",1787,2425,376,4588
"SUSQUEHANNA",10064,15502,3224,28790
"TIOGA",8516,16261,2994,27771
"UNION",8159,12874,3475,24508
"VENANGO",13363,17663,3668,34694
"WARREN",11465,13649,3373,28487
"WASHINGTON",89034,49011,14472,152517
"WAYNE",10608,17191,4269,32068
"WESTMORELAND",136953,87761,24426,249140
"WYOMING",6922,10366,1965,19253
"YORK",112209,143261,43944,299414
