"County","Barack Obama","Gary Johnson","Jill Stein","Mitt Romney","Write-in"
"Adams",15091,437,162,26767,160
"Blair",16276,464,182,32983,124
"Bedford",4788,143,64,16702,0
"Franklin",18995,571,252,43260,0
"Somerset",9436,334,188,23984,136
"Perry",5685,238,85,13120,0
"Pike",10210,194,89,12786,0
"Mercer",24232,487,219,25925,176
"Berks",83011,1832,775,84702,0
"Luzerne",64307,1261,546,58325,0
"Schuylkill",24546,617,286,32278,0
"Washington",40345,854,321,53230,0
"York",73191,1985,749,113304,773
"Lehigh",77986,1331,514,66369,0
"Centre",34176,1049,400,34001,0
"Lackawanna",61838,743,349,35085,0
"Wayne",8396,195,120,12896,0
"Clarion",5056,208,94,10828,0
"Warren",6995,205,89,10010,112
"Beaver",37055,794,281,42344,0
"Snyder",4687,180,62,10073,42
"Venango",7945,299,108,13815,90
"Sullivan",1034,30,17,1868,15
"Northumberland",12809,422,200,19335,151
"Indiana",14473,385,206,21257,109
"Lawrence",17513,334,142,21047,0
"Cambria",19971,621,352,29593,0
"Dauphin",64965,1128,465,57450,0
"Montour",3053,96,30,4652,0
"Erie",68036,1087,471,49025,296
"Delaware",171791,2002,917,110853,0
"Lycoming",15203,409,223,30658,176
"Lebanon",19900,589,219,35872,0
"Juniata",2547,83,43,6862,61
"Potter",1897,78,36,5231,0
"Cameron",724,19,9,1359,14
"Northampton",67612,1182,495,61546,9
"Tioga",5357,195,110,11342,0
"Fayette",21971,365,151,26018,124
"Bucks",160521,2863,1053,156579,0
"Susquehanna",6935,202,107,10800,72
"Crawford",13883,436,168,20901,126
"Philadelphia",588506,2892,2162,96472,0
"Butler",28550,819,315,59761,0
"Jefferson",4787,169,89,13048,50
"Carbon",11580,356,141,13504,0
"Greene",5852,116,68,8428,0
"Monroe",35221,596,233,26867,0
"Armstrong",9045,297,118,19742,124
"Mckean",5297,178,88,9545,0
"Lancaster",88481,2527,754,130669,920
"Fulton",1310,50,21,4814,27
"Huntingdon",5409,135,116,11979,53
"Union",6109,184,79,9896,0
"Columbia",10937,324,126,14236,0
"Montgomery",233651,3249,1487,173807,0
"Clinton",5734,171,57,7303,0
"Cumberland",44367,1191,447,64809,0
"Mifflin",4273,107,52,11939,0
"Elk",5463,117,79,7579,0
"Wyoming",5009,152,72,6537,0
"Clearfield",11121,339,160,20347,155
"Chester",124311,2082,740,124840,0
"Forest",896,23,10,1383,0
"Bradford",8624,243,149,14410,0
"Allegheny",352464,5195,2157,261778,660
"Westmoreland",63722,1426,492,103932,0
