"County","Darrell Castle","Donald Trump","Gary Johnson","Hillary Clinton","Jill Stein"
"Adams",191,31423,1251,14219,405
"Allegheny",1818,259480,16102,367617,5097
"Armstrong",130,23484,685,7178,141
"Beaver",355,48167,2022,32531,496
"Bedford",78,19552,260,3645,102
"Berks",781,96626,5247,78437,1974
"Blair",222,39135,1256,13958,338
"Bradford",168,18141,893,6369,137
"Bucks",1199,164361,8556,167060,3121
"Butler",382,64428,3062,28584,615
"Cambria",264,42258,1270,18867,413
"Cameron",7,1589,53,531,6
"Carbon",141,18743,691,8936,265
"Centre",344,35274,2644,37088,798
"Chester",827,116114,7930,141682,2247
"Clarion",102,12576,469,4273,115
"Clearfield",143,24932,776,8200,220
"Clinton",37,10022,470,4744,121
"Columbia",142,18004,883,8934,265
"Crawford",217,24987,1046,10971,271
"Cumberland",542,69076,3975,47085,939
"Dauphin",628,60863,3498,64706,1177
"Delaware",985,110667,5992,177402,2588
"Elk",68,10025,401,3853,79
"Erie",488,60069,3871,58112,1139
"Fayette",146,34590,853,17946,232
"Forest",13,1683,60,626,19
"Franklin",336,49768,1712,17465,450
"Fulton",35,5694,93,912,37
"Greene",66,10849,284,4482,83
"Huntingdon",152,14494,425,4539,96
"Indiana",198,24888,936,11528,220
"Jefferson",94,15192,432,3650,110
"Juniata",88,8273,201,1821,71
"Lackawanna",258,48384,1935,51983,896
"Lancaster",1529,137914,8555,91093,2021
"Lawrence",198,25428,870,14009,248
"Lebanon",298,40525,1647,18953,422
"Lehigh",550,73690,4027,81324,1402
"Luzerne",327,78688,2339,52451,1178
"Lycoming",223,35627,1311,13020,384
"Mckean",77,11635,408,4025,151
"Mercer",247,31544,1370,18733,415
"Mifflin",74,14094,476,3877,80
"Monroe",188,33386,1502,33918,758
"Montgomery",1236,162731,10934,256082,3704
"Montour",51,5288,287,2857,73
"Northampton",450,71736,3690,66272,1371
"Northumberland",180,25427,931,9788,296
"Perry",128,15616,619,4632,163
"Philadelphia",1064,108748,7115,584025,6679
"Pike",71,16056,492,9256,226
"Potter",31,6251,165,1302,35
"Schuylkill",235,44001,1414,16770,449
"Snyder",70,11725,455,4002,111
"Somerset",174,27379,678,7376,166
"Sullivan",16,2291,65,750,14
"Susquehanna",89,12891,568,5123,192
"Tioga",123,13614,548,3901,139
"Union",73,10622,450,6180,143
"Venango",136,16021,733,6309,149
"Warren",133,12477,549,5145,130
"Washington",366,61386,2643,36322,733
"Wayne",94,16244,466,7008,206
"Westmoreland",557,116522,4367,59669,936
"Wyoming",57,8837,323,3811,116
"York",882,128528,6484,68524,1568
