"County","ID#","DEM","REP","NOF","OTH","ALL"
"ADAMS",2290,20164,35993,6599,3951,66707
"ALLEGHENY",2291,539866,259523,72740,52444,924573
"ARMSTRONG",2292,15782,22120,2475,2175,42552
"BEAVER",2293,59216,40790,6246,7317,113569
"BEDFORD",2294,9465,21731,1743,1521,34460
"BERKS",2295,120209,100783,24391,14409,259792
"BLAIR",2296,24079,44355,5277,4120,77831
"BRADFORD",2297,10481,22376,2441,2353,37651
"BUCKS",2298,197830,188535,43279,30861,460505
"BUTLER",2299,42268,69608,10164,7683,129723
"CAMBRIA",2300,45336,32755,6043,2656,86790
"CAMERON",2301,1211,1653,185,184,3233
"CARBON",2302,18384,17681,3336,2820,42221
"CENTRE",2303,51155,47653,17530,7003,123341
"CHESTER",2304,136893,155433,32578,29393,354297
"CLARION",2305,8257,13092,1783,969,24101
"CLEARFIELD",2306,20718,26295,2938,3275,53226
"CLINTON",2307,9156,10189,1800,1155,22300
"COLUMBIA",2308,16105,18424,4033,2271,40833
"CRAWFORD",2309,19417,27640,3598,2724,53379
"CUMBERLAND",2310,55713,85359,16036,9902,167010
"DAUPHIN",2311,86930,76867,15927,10583,190307
"DELAWARE",2312,189177,171589,27333,24750,412849
"ELK",2313,9526,8467,1088,1162,20243
"ERIE",2314,97582,67484,14421,10707,190194
"FAYETTE",2315,48603,27924,4316,3011,83854
"FOREST",2316,1270,1750,156,155,3331
"FRANKLIN",2317,25122,54580,9685,3641,93028
"FULTON",2318,2536,5715,534,402,9187
"GREENE",2319,12474,8060,1214,842,22590
"HUNTINGDON",2320,9214,17484,2204,879,29781
"INDIANA",2321,20584,24187,4485,2556,51812
"JEFFERSON",2322,9579,16968,1706,1670,29923
"JUNIATA",2323,3970,8445,995,431,13841
"LACKAWANNA",2324,91018,42550,10660,3841,148069
"LANCASTER",2325,108121,174346,28467,24775,335709
"LAWRENCE",2326,27518,23372,3340,2824,57054
"LEBANON",2327,27298,47201,7831,4549,86879
"LEHIGH",2328,115733,80618,30524,9188,236063
"LUZERNE",2329,108054,74116,16044,7116,205330
"LYCOMING",2330,22429,38128,5408,3788,69753
"McKEAN",2331,7313,14200,1838,1562,24913
"MERCER",2332,34104,33075,7530,2602,77311
"MIFFLIN",2333,7599,15559,1934,841,25933
"MONROE",2334,51876,36337,12406,8618,109237
"MONTGOMERY",2335,272248,215770,44805,44541,577364
"MONTOUR",2336,4741,6294,1434,629,13098
"NORTHAMPTON",2337,99078,73471,23724,15127,211400
"NORTHUMBERLAND",2338,21707,27680,3502,3605,56494
"PERRY",2339,7486,18598,2634,1058,29776
"PHILADELPHIA",2340,853099,125557,85542,38371,1102569
"PIKE",2341,13969,17796,4686,3626,40077
"POTTER",2342,2844,7051,766,344,11005
"SCHUYLKILL",2343,33824,43985,5046,5097,87952
"SNYDER",2344,5579,13858,1974,837,22248
"SOMERSET",2345,17611,27363,2812,1906,49692
"SULLIVAN",2346,1526,2422,247,209,4404
"SUSQUEHANNA",2347,8033,14996,1781,1556,26366
"TIOGA",2348,7179,15892,2498,1023,26592
"UNION",2349,7616,12912,2659,1466,24653
"VENANGO",2350,11081,17516,2157,1901,32655
"WARREN",2351,10499,15115,1994,2531,30139
"WASHINGTON",2352,68011,55286,11248,4244,138789
"WAYNE",2353,10147,18115,3958,1454,33674
"WESTMORELAND",2354,113584,103827,15083,13497,245991
"WYOMING",2355,5336,9576,926,984,16822
"YORK",2356,102561,147453,35493,10386,295893
