County,"TRUMP, DONALD J","STEIN, JILL","CASTLE, DARRELL L","CLINTON, HILLARY","JOHNSON, GARY E"
CLINTON,9701,119,36,4553,450
MERCER,30034,400,232,17631,1297
MIFFLIN,14050,79,74,3563,473
LACKAWANNA,48102,889,253,51593,1903
FRANKLIN,49554,449,331,17322,1689
SOMERSET,27347,166,174,7367,676
WAYNE,15269,193,85,6398,420
CUMBERLAND,65649,908,509,44282,3720
CHESTER,115582,2231,818,140188,7818
DAUPHIN,60620,1168,626,64287,3459
CAMERON,1495,4,6,469,50
CARBON,18714,265,139,8917,686
LEHIGH,67677,1306,515,74777,3680
SUSQUEHANNA,13295,192,89,5065,559
BUTLER,61388,587,362,26834,2856
SNYDER,11710,111,70,3991,451
NORTHUMBERLAND,24418,287,175,9184,907
POTTER,6247,34,31,1300,165
WYOMING,8375,112,53,3573,305
CLEARFIELD,23909,212,130,7700,741
MONTOUR,5274,72,51,2851,287
ERIE,57168,1104,459,54820,3689
LYCOMING,35475,380,222,12926,1291
LAWRENCE,25323,244,195,13933,860
McKEAN,11159,148,70,3802,393
PERRY,14081,142,111,4081,541
PIKE,16035,226,71,9247,487
LANCASTER,137145,1992,1511,90066,8437
LEBANON,38804,406,279,17860,1557
JUNIATA,8234,71,87,1810,200
JEFFERSON,14533,106,71,3437,404
UNION,10605,141,72,6138,444
WESTMORELAND,116427,932,552,59506,4323
FULTON,5676,37,33,904,93
MONROE,31706,728,173,31930,1407
BEDFORD,19455,100,77,3613,259
CAMBRIA,39510,394,243,17348,1191
ADAMS,31249,399,191,14077,1222
BUCKS,163873,3138,1200,165861,8500
LUZERNE,78303,1170,324,52092,2323
NORTHAMPTON,71384,1363,445,65936,3647
HUNTINGDON,14369,96,150,4487,414
INDIANA,24920,220,196,11468,924
CLARION,12545,114,100,4256,466
DELAWARE,106702,2515,945,169423,5656
BEAVER,46081,477,339,30225,1914
GREENE,10394,80,61,4157,263
MONTGOMERY,157655,3604,1186,247724,10597
FAYETTE,34388,230,143,17826,839
COLUMBIA,17387,259,138,8502,841
BLAIR,37224,325,199,13093,1188
ELK,9704,77,65,3637,371
TIOGA,12928,134,113,3642,517
ALLEGHENY,257488,5021,1793,363017,15854
FOREST,1680,19,13,626,60
ARMSTRONG,22676,136,124,6849,661
YORK,126933,1542,874,67428,6376
CRAWFORD,23912,250,200,10215,986
SCHUYLKILL,43937,448,235,16724,1406
WASHINGTON,58941,708,307,34436,2553
BRADFORD,17957,136,168,6263,875
CENTRE,35099,789,342,36555,2609
PHILADELPHIA,105785,6483,1033,562853,6810
BERKS,93094,1906,749,75169,5016
SULLIVAN,2318,14,15,756,65
WARREN,12032,122,117,4828,525
VENANGO,15254,142,123,5889,688
